date,n,mkt60,ic20,ic60
2015-01-05,628,-0.21008801179187464,0.05394002524560351,0.16257726676125386
2015-02-02,631,-0.17976468788965272,0.10214740271425932,0.11714435727836964
2015-03-02,631,-0.1755273096398713,0.032654091961959196,0.1716035679500774
2015-04-01,632,-0.19616855658901333,0.1929366232972454,0.22646410502564657
2015-05-04,633,0.051833031800197604,0.15422371836518659,0.19980761567953725
2015-06-01,635,0.028737944135061477,0.0707270724630729,0.10708517797498165
2015-07-01,637,-0.023967024678228088,0.05415669695723582,0.07322268344445992
2015-08-03,638,-0.14554335460514878,0.07006276642147954,0.039305869508717374
2015-09-01,636,-0.16503507037567822,0.014745329851801764,0.07968057013836628
2015-10-01,635,-0.062392434609328085,0.028950571287733925,0.12183893779428123
2015-11-02,637,0.1129776153014923,0.13113899985008687,0.09067228181239463
2015-12-01,643,0.15228535397517629,-0.009768882645416378,0.03267245192501791
2016-01-04,646,0.03226422573942278,-0.018815209860653218,-0.011901662372936706
2016-02-01,653,-0.022487279725763032,0.06295766551496323,0.006640189028048038
2016-03-01,961,0.021000827822191592,0.026883508002320686,0.058153607735417896
2016-04-01,969,0.039595808910198205,0.05052254232046589,0.03111469817237742
2016-05-03,965,0.048070266173138254,0.13286435399790666,-0.024992673937252505
2016-06-01,970,-0.013792311210405916,-0.04521567073221178,-0.05150277091133668
2016-07-01,971,-0.00665910625193844,0.01589175609299458,-0.031823923315661494
2016-08-01,977,0.09955298189109985,0.023994784835360383,0.005891888796051025
2016-09-01,976,0.07057517861948881,0.008529705509882912,0.006873577329406443
2016-10-03,986,0.07420373578338046,0.0326662607457979,0.05461682605216515
2016-11-01,989,-0.024098548130586206,0.0678793093778655,0.09779413887584466
2016-12-01,989,-0.05808470163580404,0.022664853787301455,0.1074753540654234
2017-01-03,994,-0.05108243896887066,0.10764157725312833,0.14706329394118564
2017-02-02,999,0.0019174808706707847,0.03458749330182978,0.1408695194512535
2017-03-01,1002,0.06917571044954207,0.09769814616778962,0.1417039452097871
2017-04-05,1004,0.09504185167880608,0.09966309436815962,0.1072498435558738
2017-05-02,1006,0.06700188278859809,0.1091538866775776,0.14540935843131567
2017-06-01,1005,0.0353902939250319,-0.024526166991320226,0.0856037552753188
2017-07-03,1005,0.025569726849893115,0.1360899124268743,0.11191582717289839
2017-08-01,1006,0.06725447540204676,0.04072661411089208,0.06234649414471838
2017-09-01,1004,0.05219252436330657,0.022106864046271817,0.056740987805481514
2017-10-02,1008,0.05247311934007404,0.1060665902939232,0.052122561799871174
2017-11-01,1010,0.025581281291374047,0.05840921259831129,0.041470999334914375
2017-12-01,1014,-0.001119275153158128,-0.04675872190337322,-0.004381555116625724
2018-01-02,1018,0.0032186779022402856,0.06117942604553764,-0.036715356110687235
2018-02-01,1025,0.0025366515739062567,-0.009795642244807699,-0.0042621554492315765
2018-03-01,1028,-0.00903828656434813,-0.007947346133669491,0.07816785767096368
2018-04-02,1029,0.025141905472529702,0.10420156898903792,0.05967755446132586
2018-05-02,1032,-0.03172202035616156,0.040801125955270905,0.06087836123703297
2018-06-01,1033,0.026074228308992975,-0.011307565211086565,0.0008777514672915107
2018-07-02,1036,0.0034065208621834042,0.0783737627257073,0.02094366317377064
2018-08-01,1039,0.04181288549382822,0.03535258659049947,-0.0370176930023597
2018-09-03,1038,-0.059757796791410245,0.004768737539197164,0.023959834245603186
2018-10-01,1034,-0.04705684748985861,-0.012791408537166265,0.0751403459630919
2018-11-01,1038,-0.19593972472258547,0.11579337748656206,0.027101087991691888
2018-12-03,1041,-0.07660829254641266,-0.034919908590280775,0.16108006860571805
2019-01-02,330,-0.025190877391381816,0.10008538126971378,0.26261700897303675
2019-02-11,331,-0.2096362906416851,0.0688572028936201,0.10471674036854452
2019-03-04,332,-0.18308271512643426,0.1774618632845382,0.1273590648173116
2019-04-01,332,-0.18289557590178107,0.0005613786851654387,0.08458035368064248
2019-05-02,331,0.12008172012714713,0.16226005148530548,0.13441764090142294
2019-06-03,333,-0.027835350460212682,0.07495529515841015,0.128861347055792
2019-07-01,332,-0.0012803722659289196,0.10818699571117535,0.19303933488781952
2019-08-01,333,0.005747051702529982,0.1528330963173672,0.08858276400722162
2019-09-02,333,0.06494193209954902,0.03579445644064161,0.061270165627715596
2019-10-01,333,0.017872034168341155,0.07806081814347636,0.06172810155099153
2019-11-01,334,0.055591801461477575,0.056044475509610364,-0.016923986108536345
2019-12-02,334,0.04203093866882068,0.06032377677982794,-0.02033250334238719
2020-01-02,334,0.08011164040733787,-0.03608837197323819,0.06609818998426077
2020-02-03,333,-0.018343929548512716,0.06293025488720377,0.17488680618221364
2020-03-02,978,-0.034702144507163246,0.09775764448592772,0.11738466998413029
2020-04-01,977,-0.21386415159009775,0.033242216142381556,0.07234025260280921
2020-05-04,979,-0.05927404312094475,0.07659515144433833,0.10745650141078275
2020-06-01,976,0.02144677839993081,0.023155634392206064,0.02308197605095717
2020-07-01,977,0.3139015432559811,0.11659949689219831,0.04068093309654117
2020-08-03,977,0.1269644896238855,0.02362448967141957,-0.01644368919594755
2020-09-01,978,0.06428677558099105,-0.13518973196530454,-0.10334804679633562
2020-10-05,980,-0.044480775475846945,-0.027717527618110745,-0.07343835236638724
2020-11-02,979,-0.039217922820464435,0.059055860182012976,0.08788558898340419
2020-12-01,981,0.04812273226152075,-0.04317119420000647,0.10540753078594117
2021-01-04,980,0.09742647072690924,0.06142131594288951,0.134643614729596
2021-02-01,979,0.07219821737392373,0.043463150628378966,-0.031589440032104274
2021-03-02,981,0.10206162904109561,0.10113861103230301,0.03321783213995059
2021-04-01,982,0.1503142848269512,0.050380348455219985,0.027004073368522525
2021-05-03,982,0.11143127720167656,0.051771445483209874,0.0856234535936187
2021-06-01,981,0.03783572271657354,0.21515258169182389,0.1207899683504839
2021-07-01,981,0.02498333878315817,-0.0030305752937665603,-0.036633136495179325
2021-08-02,982,0.051665663223072755,-0.05918157298429756,-0.10221847757610963
2021-09-01,982,0.03264999852907291,-0.15054454070348114,-0.025906986864733136
2021-10-01,981,-0.0925286630626222,-0.009574669325698214,0.09212113470283156
2021-11-01,980,-0.021472317469524937,0.07876067615706542,0.003863823135607893
2021-12-01,979,0.03711888109680794,0.03533336624418205,-0.03369329411370354
2022-01-03,978,0.1244183242945669,-0.08369714914615652,0.004145421575386434
2022-02-07,980,0.01140389382390583,0.09679468770201279,0.09051340254414955
2022-03-01,980,0.004080339426934421,0.06149207700117237,0.11438714124031414
2022-04-01,978,-0.04351971221686135,0.12298154473620553,0.13859288602432396
2022-05-03,977,-0.05864264747624448,0.06560188981204564,0.1584669234420584
2022-06-01,977,-0.05012106304057384,0.029880788141044466,0.019252647193813928
2022-07-01,975,-0.15788642346741621,0.07377396413693521,0.07193974883569304
2022-08-01,975,-0.045165414690018446,0.06091061703235865,-0.010189350967853237
2022-09-01,975,-0.049299609395736965,0.03183155117817357,0.02628969342101275
2022-10-03,974,-0.016955812800304004,-0.07981979745078702,-0.018341646350347907
2022-11-01,972,-0.07291163835338943,0.059485359220182485,0.015578159260282137
2022-12-01,972,0.03224027048592437,0.012277755543775932,0.06182770963558119
2023-01-03,974,0.04614146757826365,0.002291437101001844,0.07452053264478822
2023-02-01,974,0.18543267353227733,0.13068049193050796,0.19622065274894865
2023-03-01,973,0.13557616338562672,0.0766909255027385,0.1752063305925846
2023-04-06,973,0.15079477574054523,0.20561542821036483,0.20216536838632226
2023-05-02,972,0.11985901996122106,0.11806067933939329,0.09553875307334556
2023-06-01,971,0.08614785436765571,0.13070557247756132,-0.013409750401453362
2023-07-03,972,0.1261393022672559,-0.014191534969007357,-0.03850436422486623
2023-08-01,971,0.10465233065742718,-0.011008141056728048,-0.02921304652954563
2023-09-01,972,0.030888747216104795,0.016738868878269537,0.05192015784419926
2023-10-02,974,0.003358334798009288,0.02183942694571415,0.017618901264175417
2023-11-01,975,-0.015565490456756814,0.059017815317511574,-0.0173713842201112
2023-12-01,974,0.06486485959108679,-0.05629579360583326,0.025699724773843736
2024-01-02,974,0.0785124594116906,0.004885030359224931,0.11034189308844906
2024-02-01,974,0.08475519991606828,0.11603477213670194,0.10280053292452195
2024-03-01,974,0.1322408620592932,0.08831913443924533,0.10365162245612733
2024-04-01,974,0.09238810164717814,0.16100871347979445,0.09890327373998585
2024-05-02,974,0.08406013672072588,-0.08700475194192382,0.00280687442841285
2024-06-03,974,0.025317349099269526,0.09237243704128173,0.007695799365546765
2024-07-01,974,0.0696302799685451,0.028798452916938715,0.020340245518374912
2024-08-01,974,0.04504261927018938,0.060391022799668535,0.005901548138410529
2024-09-02,973,0.023414148570693127,-0.005970765198507242,-0.03596255472226624
2024-10-01,974,-0.054295359289199485,0.003487869684427941,-0.018960628628531925
2024-11-01,976,0.03298171035334185,0.014438295472401861,0.022873085217959995
2024-12-02,976,-0.022088841491240463,0.06646763818255719,0.034483027224254434
2025-01-02,977,-0.004925931891405777,-0.018156242110979565,-0.05685140753196115
2025-02-03,977,-0.006255012748828892,0.0461159242493265,0.050759243699406785
2025-03-03,979,0.02129080436764652,0.0027501408195295305,0.06634657661532845
2025-04-01,978,-0.08747996111729883,0.07738857416642092,0.09083415595391804
2025-05-02,979,-0.08975463577346432,0.11703883710444268,0.08477485002161016
2025-06-02,980,-0.10745405031527411,0.1332735175901451,0.08115050146787536
2025-07-01,980,0.03249651469173087,0.0684726457774406,0.09391266392207241
2025-08-01,981,0.10404190624015897,0.1766043214626387,0.12426696794155247
2025-09-01,982,0.11647002939212925,0.032278792270894814,0.017062361345359434
2025-10-01,983,0.10714560164404907,0.07479902845708737,0.03851341183144384
2025-11-03,983,0.08894554297117407,-0.06607645488522758,
2025-12-01,984,0.03454080870514287,0.018587935973928126,
